x,P+,thau
0.0,0.0,0.0
0.02,0.014,101.347
0.04,0.031,171.767
0.06,0.065,271.035
0.08,0.092,354.668
0.1,0.091,396.341
0.12,0.107,474.944
0.14,0.136,508.371
0.16,0.173,616.205
0.18,0.176,651.14
0.2,0.202,692.594
0.22,0.238,749.511
0.24,0.232,781.969
0.26,0.252,771.268
0.28,0.304,899.786
0.3,0.291,901.424
0.32,0.302,907.86
0.34,0.351,967.925
0.36,0.352,904.241
0.38,0.373,993.401
0.4,0.408,972.708
0.42,0.413,994.413
0.44,0.453,1051.807
0.46,0.465,998.607
0.48,0.472,1076.194
0.5,0.492,964.274
0.52,0.517,1050.244
0.54,0.536,1033.814
0.56,0.554,1077.529
0.58,0.611,985.197
0.6,0.59,1008.106
0.62,0.591,1044.894
0.64,0.634,954.826
0.66,0.68,902.658
0.68,0.682,921.167
0.7,0.71,911.967
0.72,0.745,809.007
0.74,0.724,877.83
0.76,0.762,812.887
0.78,0.783,758.406
0.8,0.816,664.679
0.82,0.843,622.334
0.84,0.83,672.847
0.86,0.86,540.644
0.88,0.889,459.039
0.9,0.894,438.265
0.92,0.93,360.938
0.94,0.929,265.784
0.96,0.944,209.473
0.98,0.988,83.091
1.0,1.0,0.0
